the_total_ 596
new_group 65
39374 30.2812 -97.7452
39385 30.3249 -97.7476
39378 30.3303 -97.8069
39379 30.3303 -97.8069
39377 30.3303 -97.8069
39373 30.4042 -97.7008
39372 30.4981 -97.7762
39348 32.8322 -117.08
39349 32.8322 -117.08
39350 32.8322 -117.08
39381 33.009 -96.7515
39355 33.6136 -101.864
39357 33.6136 -101.864
39358 33.6136 -101.864
39359 33.6136 -101.864
39356 33.6136 -101.864
39346 33.778 -84.3518
39380 34.0057 -118.37
39337 34.0388 -118.307
39339 34.05 -118.355
39340 34.05 -118.355
39338 34.05 -118.355
39335 34.0752 -118.324
39343 34.0759 -118.282
39345 34.0759 -118.282
39344 34.0759 -118.282
39347 34.085 -118.359
39360 34.1077 -118.331
39361 34.1077 -118.331
39333 34.3659 -89.5382
39384 36.1572 -115.281
39341 38.9729 -94.6756
39342 38.9729 -94.6756
39334 39.6899 -75.6114
39354 40.3794 -87.7399
39392 40.6875 -73.9558
39393 40.6875 -73.9558
39394 40.6875 -73.9558
39130 40.6881 -74.0679
39391 40.6893 -73.9846
39387 40.719 -74.002
39396 40.7294 -73.9871
39395 40.7294 -73.9871
39388 40.7379 -74.0159
39352 40.7394 -73.9544
39353 40.7394 -73.9544
39351 40.7394 -73.9544
39113 40.7431 -73.9741
39114 40.7431 -73.9741
39336 40.7447 -73.9991
39398 40.7538 -73.8112
39399 40.7626 -73.9781
39400 40.7626 -73.9781
39397 40.8051 -73.9446
39071 41.7434 -72.7304
39383 42.358 -71.0856
39390 42.7258 -71.4446
39386 43.131 -77.4516
39223 45.4563 -73.4793
39224 45.4563 -73.4793
39225 45.4563 -73.4793
new_group 67
39369 21.3253 -157.886
39370 21.3253 -157.886
39367 21.3253 -157.886
39368 21.3253 -157.886
39363 21.3396 -157.859
39364 21.3396 -157.859
39371 21.3065 -157.847
39470 37.2989 -121.975
39471 37.2989 -121.975
39469 37.2989 -121.975
39458 34.2661 -119.227
39457 34.2661 -119.227
39459 34.2661 -119.227
39444 34.0583 -118.4
39494 34.0622 -118.369
39495 34.0622 -118.369
39493 34.0622 -118.369
39447 34.1474 -118.3
39496 33.8136 -118.089
39453 33.8698 -118.059
39454 33.9569 -117.964
39451 33.892 -117.871
39462 33.9918 -117.869
39456 32.8163 -117.194
39463 34.0196 -117.094
39417 43.6214 -116.287
39416 43.6214 -116.287
39418 43.6214 -116.287
39415 43.6214 -116.287
39414 43.6214 -116.287
39413 43.6186 -116.27
39402 30.2682 -97.7406
39403 29.7271 -95.4098
39405 29.7271 -95.4098
39404 29.7271 -95.4098
39481 40.7099 -80.2889
39478 40.7099 -80.2889
39479 40.7099 -80.2889
39480 40.7099 -80.2889
39476 40.5883 -80.2248
39475 40.5883 -80.2248
39477 40.5883 -80.2248
39473 36.0141 -80.0533
39472 36.0141 -80.0533
39474 40.4462 -79.9579
39448 38.3516 -77.5055
39408 40.7308 -73.9788
39410 40.7308 -73.9788
39409 40.7308 -73.9788
39401 40.7626 -73.9781
39406 40.7383 -73.9671
39407 40.7383 -73.9671
39412 40.7609 -73.2053
39411 40.7609 -73.2053
39466 41.2855 -73.1316
39468 41.818 -73.0897
39465 41.7848 -73.0396
39464 41.7617 -72.7587
39467 41.4031 -72.062
39487 41.9751 -71.3154
39486 41.9751 -71.3154
39488 41.9751 -71.3154
39492 42.3698 -71.1751
39490 42.3698 -71.1751
39491 42.3698 -71.1751
39450 46.867 -71.1608
39482 42.3094 -71.0915
new_group 67
39140 45.6303 -122.602
39281 37.7683 -122.418
39279 37.7141 -122.405
39268 37.7948 -122.391
39310 37.6916 -121.904
39152 38.5874 -121.363
39280 37.688 -121.054
39330 34.0917 -118.377
39332 34.0917 -118.377
39331 34.0917 -118.377
39329 34.0966 -118.342
39263 34.1184 -118.295
39264 34.0775 -118.267
39266 34.1513 -118.159
39267 34.0869 -118.108
39187 43.6258 -116.3
39151 36.1084 -115.214
39254 36.1135 -115.172
39256 36.1135 -115.172
39255 36.1135 -115.172
39272 36.18 -115.134
39270 36.0396 -115.104
39269 36.0396 -115.104
39271 36.0396 -115.104
39265 40.2461 -111.647
39260 32.2667 -106.731
39258 31.8038 -106.526
39257 31.7744 -106.448
39259 31.8807 -106.416
39262 31.774 -106.354
39154 39.707 -104.964
39168 38 -97
39261 40.4809 -88.9612
39176 39.7918 -86.1899
39175 39.7918 -86.1899
39174 39.7918 -86.1899
39177 39.7918 -86.1899
39160 39.8977 -85.9983
39295 39.1559 -84.426
39296 39.1559 -84.426
39297 39.1559 -84.426
39190 28.4892 -81.4368
39249 37.2498 -79.9607
39250 37.2498 -79.9607
39251 37.2498 -79.9607
39253 37.2498 -79.9607
39252 37.2498 -79.9607
39288 43.6786 -79.5536
39289 43.6786 -79.5536
39287 43.6786 -79.5536
39286 43.6786 -79.5536
39167 38.8971 -77.0503
39132 39.3265 -76.8015
39136 39.3265 -76.8015
39135 39.3265 -76.8015
39134 39.3265 -76.8015
39086 37.2878 -76.7213
39294 39.1673 -76.7182
39293 39.1673 -76.7182
39292 39.1673 -76.7182
39147 40.8567 -75.7386
39145 40.8567 -75.7386
39146 40.8567 -75.7386
39278 40.0022 -75.2036
39277 40.0022 -75.2036
39276 40.0022 -75.2036
39129 40.6881 -74.0679
new_group 67
38669 19.6896 -155.063
38671 19.7039 -155.098
38681 19.7078 -155.075
38656 19.7133 -155.075
38446 20.5939 -100.4
38659 21.2894 -157.837
38657 21.2894 -157.837
38658 21.2894 -157.837
38666 21.3042 -157.844
38781 25.6396 -100.302
38783 25.6396 -100.302
38782 25.6396 -100.302
39025 29.4444 -98.4841
39024 29.4444 -98.4841
39002 29.5792 -95.1474
38667 30.2642 -97.7394
38661 33.5228 -82.0843
39007 33.5309 -86.7138
38802 33.6603 -117.913
38803 33.6603 -117.913
38705 33.7973 -84.3816
38947 33.9866 -118.25
38677 33.9982 -81.0426
38676 33.9982 -81.0426
38672 35.9837 -115.111
38670 36.0236 -115.107
38996 37.2998 -121.933
39035 37.6132 -122.075
39034 37.7374 -122.211
39004 38.3535 -77.4454
38997 38.4522 -77.4531
39005 38.463 -77.4156
38993 38.8741 -77.2305
38994 38.9014 -77.0643
38938 38.9302 -77.2651
38940 38.9302 -77.2651
38939 38.9302 -77.2651
38937 38.9302 -77.2651
39006 38.9869 -77.0532
38905 39.0797 -84.2483
38786 39.1744 -76.8624
38992 39.3111 -76.5822
38960 39.7912 -86.2044
38995 41.2434 -73.7613
39003 41.3764 -72.0457
38814 41.6628 -86.2138
38663 41.7753 -71.3755
38664 41.7753 -71.3755
38665 41.7753 -71.3755
39022 42.2118 -83.3568
39023 42.2118 -83.3568
38662 45.0818 -93.3986
38660 45.5915 -73.7739
38889 46.125 -123.876
38900 46.189 -123.849
38902 46.189 -123.849
38901 46.189 -123.849
38891 47.7613 -122.318
38898 48.7448 -122.482
38899 48.7448 -122.482
38897 48.7448 -122.482
38896 48.7448 -122.482
38893 48.7452 -122.475
38895 48.7525 -122.472
38892 48.755 -122.445
38894 48.763 -122.473
38890 48.7764 -122.486
new_group 67
38448 20.5939 -100.4
38447 20.5939 -100.4
38418 20.6482 -103.319
38416 21.0114 -89.6122
38349 21.2897 -157.821
38650 21.3396 -157.911
38647 21.3396 -157.911
38648 21.3396 -157.911
38649 21.3396 -157.911
38643 21.3577 -157.906
38644 21.3577 -157.906
38645 21.3577 -157.906
38646 21.3577 -157.906
38578 25.6521 -100.285
38577 25.6521 -100.285
38579 25.6521 -100.285
38596 25.8184 -80.2849
38595 25.8184 -80.2849
38598 25.8184 -80.2849
38597 25.8184 -80.2849
38640 26.2373 -98.2114
38637 26.2373 -98.2114
38639 26.2373 -98.2114
38641 26.2373 -98.2114
38638 26.2373 -98.2114
38531 28.3978 -80.7542
38619 28.3985 -81.5781
38615 29.9094 -95.5898
38614 29.9094 -95.5898
38616 29.9094 -95.5898
38622 30.0109 -97.9538
38632 30.1978 -98.1061
38557 30.2735 -97.7551
38625 32.7701 -97.2951
38627 32.7701 -97.2951
38626 32.7701 -97.2951
38624 32.7701 -97.2951
38519 33.6454 -112.154
38636 34.0073 -84.1561
38634 34.0073 -84.1561
38633 34.0073 -84.1561
38635 34.0073 -84.1561
38618 35.1187 -91.9197
38617 35.1187 -91.9197
38620 35.221 -97.4399
38621 35.2531 -97.7789
38539 35.5138 -97.5309
38480 35.5645 -97.5605
38479 35.5645 -97.5605
38481 35.5645 -97.5605
38600 35.8828 -78.8088
38631 36.0672 -86.7216
38558 36.1032 -115.182
38623 37.7894 -122.401
38651 38.116 -84.5432
38540 38.5822 -90.3356
38655 38.6577 -90.387
38574 40.7397 -73.9679
38520 41.1531 -73.3774
38569 42.7525 -71.4591
38628 45.5237 -122.674
38630 45.5237 -122.674
38629 45.5237 -122.674
38652 48.443 -123.366
38653 48.443 -123.366
38654 48.443 -123.366
38612 49.1162 -123.133
new_group 67
38332 26.2057 -80.1949
38386 26.5903 -81.8276
38385 26.5903 -81.8276
38271 26.6041 -81.8763
38322 27.9878 -82.4654
38051 28.5718 -81.2296
38050 28.5718 -81.2296
38049 28.5718 -81.2296
38405 29.2135 -82.1316
38139 29.4199 -98.4899
38137 29.4376 -98.4482
38010 29.45 -98.6807
38351 30.2121 -81.6076
38406 30.2579 -97.7691
38420 30.3026 -97.7435
38415 30.3319 -97.7593
38361 32.6788 -97.1704
38333 32.7099 -117.162
38362 32.7227 -97.1219
38360 32.7288 -97.2772
38359 32.7288 -97.2772
38438 32.7452 -117.121
38440 32.7452 -117.121
38441 32.7452 -117.121
38437 32.7452 -117.121
38439 32.7452 -117.121
38347 32.7726 -117.083
38358 32.8071 -97.1599
38357 32.8071 -97.1599
38414 32.8194 -96.8091
38355 32.8619 -117.154
38354 32.8619 -117.154
38356 32.8619 -117.154
38417 32.8712 -96.8025
38376 32.9015 -96.8902
38419 32.9795 -97.0007
38352 33.1001 -117.211
38428 33.6824 -117.899
38331 33.7213 -116.283
38398 33.8368 -84.1683
38340 33.8554 -118.005
38334 33.8722 -84.4028
38449 33.9508 -117.375
38412 34.087 -118.359
38410 34.087 -118.359
38411 34.087 -118.359
38338 34.1135 -118.333
38341 34.7277 -86.596
38339 35.1946 -106.648
38391 36.0408 -115.176
38390 36.0408 -115.176
38389 36.0408 -115.176
38336 36.0442 -115.02
38342 36.8244 -119.805
38343 36.8253 -119.81
38348 37.5767 -122.041
38335 37.6419 -122.323
38379 37.6894 -122.151
38337 37.776 -122.362
38345 38.3939 -85.3672
38363 40.4495 -79.9743
38424 44.5179 -88.0234
38403 44.6288 -124.053
38401 45.5115 -73.5699
38399 45.5115 -73.5699
38400 45.5115 -73.5699
38402 45.5115 -73.5699
new_group 67
38009 29.45 -98.6807
38011 29.45 -98.6807
38301 30.3596 -97.7208
38268 30.4645 -84.2599
38307 32.4722 -114.76
38310 32.4743 -114.768
38286 32.7072 -117.16
38297 32.7078 -117.161
38267 32.71 -117.162
38290 32.7139 -117.173
38273 32.7318 -117.101
38274 32.7318 -117.101
38272 32.7318 -117.101
38285 32.7432 -117.147
38283 32.7432 -117.147
38284 32.7432 -117.147
38314 32.7553 -117.167
38299 32.7605 -117.148
38278 32.7624 -117.152
38280 32.8002 -117.034
38318 32.808 -117.189
38295 32.8142 -117.171
38279 32.9217 -117.082
38289 33.3811 -86.7574
38263 33.4585 -86.7931
38298 33.5299 -117.17
38324 33.6319 -112.24
38315 33.7489 -117.872
38320 33.7969 -117.921
38281 33.7986 -117.898
38276 33.813 -118.26
38253 33.8918 -118.302
38319 33.894 -84.4247
38305 34.0124 -118.192
38321 34.0276 -118.351
38277 34.0769 -118.358
38259 34.1235 -118.332
38269 35.7606 -78.8415
38288 35.8343 -78.7055
38296 35.9452 -83.9547
38291 36.1124 -115.172
38300 36.8135 -76.1932
38312 36.8512 -119.775
38316 37.2349 -76.6449
38323 37.3519 -121.967
38251 37.3588 -122.01
38308 38.238 -85.6233
38264 38.9033 -77.0637
38265 38.9033 -77.0637
38266 38.9033 -77.0637
38317 40.2825 -74.6167
38329 40.3563 -111.749
38313 40.6553 -74.334
38330 40.7386 -73.9783
38260 41.0883 -74.1252
38261 41.0883 -74.1252
38262 41.0883 -74.1252
38311 41.7074 -71.4674
38287 42.0836 -80.1177
38250 42.188 -72.8674
38306 42.266 -83.7668
38282 42.9903 -81.2231
38325 43.1072 -79.113
38328 43.679 -70.2826
38292 43.9177 -78.8863
38294 45.5638 -122.662
38252 47.6763 -117.218
new_group 67
38141 29.4516 -98.4922
38064 29.48 -98.4624
38138 29.5929 -98.4733
38136 29.5986 -98.2771
38063 29.9436 -90.0724
38216 30.2749 -97.7386
38124 30.2813 -97.769
38203 30.2892 -97.7605
38095 30.3291 -97.82
38125 30.3336 -97.7406
38094 30.4249 -91.1635
38249 31.7675 -106.454
38247 31.7675 -106.454
38248 31.7675 -106.454
38246 32.375 -88.7026
38224 32.6851 -117.107
38239 32.7091 -117.162
38103 32.7403 -117.162
38232 32.7456 -117.191
38233 33.5957 -117.725
38112 33.8774 -118.175
38111 33.8774 -118.175
38113 33.8774 -118.175
38114 33.8774 -118.175
38242 33.9059 -84.3784
38240 34.1674 -118.426
38212 34.2704 -119.26
38140 34.7549 -92.3536
38122 35.4417 -97.5577
38121 35.4417 -97.5577
